split,Rule_Index,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,profit_factor,tp_exits,sl_exits,time_exits
train,29,8,4,4,50.0,49.25735135287404,6.157168919109255,2.997327152472878,4,4,0
train,30,5,2,3,40.0,1.5457198975754078,0.30914397951508155,1.0940106363685524,2,3,0
train,31,14,8,6,57.14285714285714,75.3565801944906,5.382612871035043,5.2534861094940535,7,5,2
train,32,17,12,5,70.58823529411765,64.92020165855439,3.81883539167967,2.632196470277976,10,4,3
train,33,6,4,2,66.66666666666666,27.4181012551718,4.569683542528633,3.58243724200743,4,2,0
train,34,7,6,1,85.71428571428571,25.194316639498417,3.599188091356917,3.8341419714654275,6,1,0
train,35,5,3,2,60.0,17.57908710900636,3.515817421801272,4.344808979197741,3,0,2
train,36,8,5,3,62.5,27.451907000467383,3.431488375058423,5.224524710589366,5,3,0
train,37,7,5,2,71.42857142857143,-5.28671895467343,-0.755245564953347,0.845578341468273,4,2,1
train,38,20,11,9,55.00000000000001,36.546797672963905,1.8273398836481953,1.428433311887659,8,9,3
train,39,17,6,11,35.294117647058826,-2.714849674916575,-0.159697039700975,0.9558227080344911,5,11,1
train,40,9,6,3,66.66666666666666,15.367629696697904,1.7075144107442115,2.082422807177184,5,2,2
train,41,7,7,0,100.0,53.55492202325536,7.650703146179337,inf,7,0,0
train,42,7,6,1,85.71428571428571,32.789369513478725,4.684195644782675,15.072474585847939,6,1,0
train,43,4,2,2,50.0,3.1414531933419507,0.7853632983354877,1.237913035125628,2,2,0
train,44,8,6,2,75.0,17.936328063077553,2.242041007884694,2.1869656160436715,5,2,1
train,45,9,4,5,44.44444444444444,10.965401840792712,1.2183779823103014,1.4712829472881275,4,5,0
train,46,5,4,1,80.0,28.493060006157066,5.698612001231413,18.544288061239996,4,1,0
train,47,12,5,7,41.66666666666667,13.692113739454584,1.141009478287882,1.51881902120644,5,7,0
train,48,19,10,9,52.63157894736842,64.45586303846632,3.3924138441298064,4.636622441343643,8,3,8
train,49,11,9,2,81.81818181818183,91.39391323574394,8.308537566885812,11.818963076216248,8,2,1
train,50,22,13,9,59.09090909090909,33.771387571531406,1.5350630714332458,1.5180568505743866,11,8,3
train,51,23,16,7,69.56521739130434,89.55844771031552,3.893845552622414,2.984364614310766,15,7,1
train,52,19,12,7,63.1578947368421,53.91253733590053,2.8375019650473963,3.6577797484902685,11,5,3
train,53,37,21,16,56.75675675675676,229.14253522846468,6.193041492661208,3.5726985707731473,19,16,2
train,54,7,3,4,42.857142857142854,-13.01439917213804,-1.8591998817340056,0.5852216087527321,3,3,1
train,55,11,3,8,27.27272727272727,-20.841484346871383,-1.8946803951701257,0.4620307584548427,2,8,1
train,56,12,9,3,75.0,48.76927845361294,4.064106537801078,5.044450637386117,8,3,1
train,57,22,17,5,77.27272727272727,54.32990579250993,2.469541172386815,2.134744845949998,16,5,1
train,58,14,5,9,35.714285714285715,-5.020951749392683,-0.35863941067090593,0.9240925001846801,5,9,0
train,59,14,6,8,42.857142857142854,-5.258331778206006,-0.37559512701471476,0.8898802905971378,5,8,1
train,60,4,2,2,50.0,14.67014290229324,3.66753572557331,7.0890037532584955,2,1,1
train,61,13,8,5,61.53846153846154,26.859878561508992,2.066144504731461,2.0347102665717154,8,5,0
train,62,25,15,10,60.0,7.344132011822673,0.2937652804729069,1.0771046418025543,13,10,2
train,63,26,18,8,69.23076923076923,56.60559639429023,2.1771383228573167,2.318540250169791,14,7,5
train,64,16,7,9,43.75,7.714455995936225,0.48215349974601407,1.188414386874008,7,8,1
train,65,25,14,11,56.00000000000001,45.72541957864257,1.829016783145703,2.1445782333900847,14,11,0
train,66,10,6,4,60.0,60.02430482778218,6.002430482778218,5.145802515807364,6,2,2
train,67,17,10,7,58.82352941176471,40.26632071911415,2.3686071011243617,2.1675130289206495,10,7,0
train,68,28,15,13,53.57142857142857,57.09930655533828,2.0392609484049387,1.6720460179560765,12,8,8
train,69,24,10,14,41.66666666666667,-24.96035684157954,-1.0400148683991475,0.7307313093097683,6,11,7
train,70,10,6,4,60.0,28.160848548884346,2.8160848548884347,1.914263155006393,6,4,0
train,71,9,6,3,66.66666666666666,15.535317717251726,1.7261464130279696,1.5602251798790099,6,2,1
train,72,12,6,6,50.0,25.269111345691314,2.1057592788076094,1.9425014096372284,5,6,1
train,73,3,2,1,66.66666666666666,12.291692119574998,4.097230706524999,1.8540418962701852,2,1,0
train,74,15,9,6,60.0,10.980183094591357,0.7320122063060904,1.2659371566471507,6,6,3
train,75,5,4,1,80.0,34.26909552413744,6.853819104827489,7.103508258376624,3,1,1
train,76,5,4,1,80.0,16.49742306872396,3.2994846137447924,11.102843575679477,4,1,0
train,77,10,10,0,100.0,64.39406517488473,6.439406517488473,inf,10,0,0
train,78,12,8,4,66.66666666666666,23.85837193249461,1.9881976610412175,2.7296775059422718,6,4,2
train,79,7,6,1,85.71428571428571,20.059018602739464,2.865574086105638,6.5858623622257,6,0,1
train,80,3,3,0,100.0,26.785543913738994,8.928514637912999,inf,3,0,0
train,81,12,11,1,91.66666666666666,72.29741540056105,6.024784616713421,24.3340393337198,11,1,0
train,82,14,9,5,64.28571428571429,61.979032640599534,4.427073760042824,3.301019820897947,8,4,2
train,83,10,8,2,80.0,11.92761837952411,1.192761837952411,1.3668642890082752,8,2,0
train,84,15,11,4,73.33333333333333,86.06943776755709,5.737962517837139,3.3893544023246363,10,4,1
train,85,5,3,2,60.0,7.268985093933104,1.4537970187866207,1.375460820814565,3,2,0
train,86,2,2,0,100.0,14.583063698912186,7.291531849456093,inf,2,0,0
train,87,10,8,2,80.0,55.85070128905424,5.585070128905424,6.830878649220169,8,2,0
train,88,10,5,5,50.0,4.003282016104121,0.4003282016104121,1.2133056583105128,5,5,0
train,89,4,2,2,50.0,5.623022049965314,1.4057555124913286,2.1919755810253396,2,2,0
train,90,8,6,2,75.0,53.67780299672599,6.709725374590748,12.51512797616481,4,2,2
train,91,12,4,8,33.33333333333333,13.60409893593777,1.1336749113281475,1.3816859728210407,3,7,2
train,92,5,3,2,60.0,-3.5778276708779444,-0.7155655341755889,0.7985474218265312,3,1,1
train,93,4,3,1,75.0,7.736749548457483,1.9341873871143707,3.2013160261621354,3,1,0
train,94,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,95,3,1,2,33.33333333333333,-1.3630534971627615,-0.4543511657209205,0.7749082687269722,1,2,0
train,96,14,12,2,85.71428571428571,117.55475791165898,8.396768422261356,54.43703727736293,10,2,2
train,97,19,7,12,36.84210526315789,-17.204776598027976,-0.9055145577909461,0.7231107313714825,5,12,2
train,98,23,8,15,34.78260869565217,-41.318982780186076,-1.7964775121820034,0.49524110425234585,8,14,1
train,99,29,15,14,51.724137931034484,98.49714670723526,3.3964533347322505,2.2513640135323545,14,13,2
train,100,7,4,3,57.14285714285714,-3.438310317689746,-0.4911871882413923,0.8219388966903641,3,3,1
