datetime,symbol,open,high,low,close,volume,ff_donchian_width_20,ff_ema_spread_21_55,ff_relative_volume_20,ff_volume_regime_20,ff_bollinger_width_20,ff_volume_oscillator_5_20,ff_ema_stack_8_21_55,ff_volume_trailing_rank_50,ff_kama_distance_10,ff_roc_16,ff_ema_spread_8_21,ff_support_distance_20,ff_cvd_proxy_10,ff_rsi_7_level,ff_channel_midpoint_bias_20,ff_price_vs_ema_20,ff_rsi_14_midline_cross,ff_roc_8
2025-01-04 14:45:00,ETHUSDT,3637.79,3639.0,3633.1,3636.99,1896.1181,1,5,2,-1,2,1,1,2,2,1,5,5,-1,0,2,1,1,1
2025-01-04 15:00:00,BTCUSDT,98035.05,98044.72,97925.6,97997.81,88.10382,1,-1,3,0,1,-1,0,3,5,1,2,5,2,0,2,1,1,1
2025-01-04 15:00:00,ETHUSDT,3637.0,3642.36,3633.67,3640.9,1649.7233,1,5,2,-1,2,-2,1,2,4,1,5,5,-1,0,2,1,1,-1
2025-01-04 15:15:00,BTCUSDT,97997.81,98152.02,97625.6,97832.06,174.30565,1,-1,4,1,1,2,0,4,-2,1,1,5,1,0,0,-1,0,-1
2025-01-04 15:15:00,ETHUSDT,3640.91,3663.25,3623.91,3636.41,8523.6033,1,5,4,1,1,1,1,4,2,1,5,5,-2,0,2,1,1,-1
2025-01-04 15:30:00,BTCUSDT,97832.07,97832.07,97568.34,97637.63,283.40708,1,-1,4,1,1,4,-1,4,-5,-1,-1,1,-2,-1,-2,-1,0,-1
2025-01-04 15:30:00,ETHUSDT,3636.41,3636.74,3599.0,3603.06,10793.3603,1,5,4,1,1,4,1,4,-5,1,2,5,-4,-1,-1,-1,0,-1
2025-01-04 15:45:00,BTCUSDT,97637.63,97737.5,97514.79,97657.94,191.9677,1,-2,4,1,1,5,-1,4,-5,-1,-2,3,-1,-1,-2,-1,0,-1
2025-01-04 15:45:00,ETHUSDT,3603.07,3612.03,3592.06,3607.81,8478.5328,1,5,4,1,1,5,1,4,-5,1,1,5,-2,-1,-1,-1,0,-1
2025-01-04 16:00:00,BTCUSDT,97657.95,97800.0,97623.99,97780.29,129.81106,1,-2,3,1,1,5,-1,4,-3,-1,-2,5,-1,0,0,-1,0,-1
2025-01-04 16:00:00,ETHUSDT,3607.81,3618.0,3601.62,3613.8,3215.8466,1,5,2,-1,1,5,1,3,-4,1,1,5,-1,0,-1,-1,0,-1
2025-01-04 16:15:00,BTCUSDT,97780.29,97874.68,97703.11,97703.12,75.52066,1,-2,2,-1,1,5,-1,2,-5,-1,-2,5,-1,0,-1,-1,0,-1
