rule_index,old_tp,old_sl,old_capital_pct,new_tp,new_sl,new_capital_pct,changed_tp_sl,changed_capital,full_signals,train_signals,test_signals,hidden_signals,rest_signals,train_sum_net_pct,test_sum_net_pct,hidden_sum_net_pct,rest_sum_net_pct,conditions
11,2.0,1.0,12.5,2.5,1.0,12.5,True,False,25,16,2,4,3,8.340484619140625,0.289800763130188,9.199999809265137,-0.10000014305114746,[channel_pos_20] IS Low AND [ema_gap_atr_20] IS Extreme Bullish AND [dollar_vol_rel_20] IS High AND [atr_pct_14] IS Very High
12,2.0,1.0,12.5,3.5,1.75,6.0,True,True,23,7,3,4,9,-1.5387828350067139,-0.6000001430511475,7.949999809265137,13.881004333496094,[ema_gap_atr_20] IS Neutral Positive AND [band_bb_percB_20_2] IS Extreme Bearish AND [tr_to_atr_14] IS Low AND [atr_pct_14] IS Very High
13,2.0,1.0,12.5,3.5,1.25,8.0,True,True,24,7,1,4,12,7.615477561950684,-1.4500000476837158,13.199999809265137,-0.0982506275177002,[ema_gap_atr_20] IS Weak Bullish AND [band_bb_percB_20_2] IS Strong Bearish AND [dmi_balance_14] IS Extreme Bullish AND [atr_pct_14] IS Very High
14,2.0,1.0,12.5,3.0,1.75,12.5,True,False,50,14,5,4,27,6.980401039123535,1.806136131286621,8.708625793457031,-10.908002853393555,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [ema_slope_atr_20_5] IS Strong Bullish AND [up_close_ratio_5] IS Very Low
15,2.0,1.0,12.5,2.0,1.75,10.0,True,True,14,1,3,4,6,-1.9500000476837158,2.3676795959472656,7.199999809265137,1.2197670936584473,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [realized_vol_20] IS High AND [close_location_value] IS Very Low
16,2.0,1.0,12.5,3.5,1.0,8.0,True,True,13,0,3,4,6,0.0,-3.6000001430511475,12.318922996520996,-2.3668270111083984,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [realized_vol_20] IS High AND [tr_to_atr_14] IS Low
17,2.0,1.0,12.5,3.0,1.75,8.0,True,True,27,7,1,4,15,2.254655599594116,-1.1039170026779175,6.952227592468262,17.16556739807129,[dmi_balance_14] IS Strong Bullish AND [ema_slope_atr_20_5] IS Extreme Bearish AND [downside_semivol_20] IS High AND [up_close_ratio_5] IS Very High
18,2.0,1.0,12.5,3.0,1.0,8.0,True,True,28,14,3,4,7,11.149890899658203,-3.6000001430511475,7.199999809265137,3.0290114879608154,[dmi_balance_14] IS Strong Bullish AND [ema_slope_atr_20_5] IS Extreme Bearish AND [downside_semivol_20] IS High AND [vol_ratio_20_100] IS Very High
19,2.0,1.0,12.5,3.5,1.25,10.0,True,True,13,2,0,4,7,-2.9000000953674316,0.0,8.449999809265137,4.203747749328613,[dmi_balance_14] IS Strong Bullish AND [ema_slope_atr_20_5] IS Extreme Bearish AND [downside_semivol_20] IS High AND [band_bb_percB_20_2] IS Extreme Bearish
20,2.0,1.0,12.5,2.0,1.25,12.5,True,False,17,6,0,4,7,3.3342082500457764,0.0,7.199999809265137,-0.40000009536743164,[dmi_balance_14] IS Strong Bullish AND [ema_slope_atr_20_5] IS Extreme Bearish AND [downside_semivol_20] IS High AND [atr_pct_14] IS High
21,2.0,1.0,12.5,3.0,1.75,8.0,True,True,24,5,1,4,14,5.372806549072266,-1.9500000476837158,11.199999809265137,-0.9033522605895996,[channel_pos_20] IS Low AND [ema_gap_atr_20] IS Extreme Bullish AND [downside_semivol_20] IS High AND [atr_pct_14] IS Medium
22,2.0,1.0,12.5,2.0,1.5,10.0,True,True,31,5,5,4,17,-3.4628512859344482,3.339768171310425,7.199999809265137,7.639490127563477,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [up_close_ratio_5] IS Very Low AND [vol_ratio_20_100] IS Low
23,2.0,1.0,12.5,2.0,2.0,8.0,True,True,29,6,3,4,16,2.118391990661621,-3.350489854812622,7.199999809265137,5.669193267822266,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [up_close_ratio_5] IS Very Low AND [vol_ratio_20_100] IS Medium
24,2.0,1.0,12.5,3.5,1.25,10.0,True,True,36,7,6,4,19,-5.40000057220459,4.083791732788086,13.199999809265137,3.1891696453094482,[ema_gap_atr_20] IS Bullish AND [channel_pos_20] IS Very Low AND [up_close_ratio_5] IS Very Low AND [band_bb_percB_20_2] IS Neutral Negative
25,2.0,1.0,12.5,2.5,1.25,12.5,True,False,33,12,5,4,12,8.84999942779541,7.75,9.199999809265137,-1.3268871307373047,[rsi_centered_14] IS Strong Bullish AND [channel_pos_20] IS Very Low AND [vol_ratio_20_100] IS Medium AND [ema_slope_atr_20_5] IS Bullish
